20,953
21,15
25,57
26,47
27,62
28,63
29,62
30,62
31,62
32,62
33,63
34,62
35,62
36,62
37,62
38,132
39,15
40,40
41,62
42,62
43,63
44,62
45,62
46,62
47,62
48,62
49,62
50,63
51,62
52,62
53,62
54,63
55,131
56,19
57,36
58,63
59,62
60,62
61,62
62,62
63,62
64,63
65,62
66,62
67,62
68,63
69,62
70,62
71,62
72,131
73,23
74,33
75,62
76,62
77,62
78,63
79,82
80,94
81,62
82,62
83,62
84,62
85,63
86,62
87,62
88,131
89,37
90,19
91,62
92,62
93,62
94,73
95,94
96,87
97,63
98,62
99,62
100,62
101,62
102,63
103,62
104,131
105,35
106,20
107,62
108,63
109,62
110,62
111,62
112,63
113,62
114,62
115,62
116,62
117,63
118,62
119,62
120,62
121,155
122,24
123,72
124,63
125,62
126,62
127,62
128,62
129,63
130,62
131,62
132,62
133,62
134,63
135,71
136,79
137,131
138,14
139,42
140,62
141,62
142,62
143,63
144,62
145,62
146,63
147,62
148,62
149,62
150,62
151,62
152,63
153,62
154,131
155,17
156,38
157,63
158,62
159,62
160,62
161,62
162,63
163,62
164,62
165,62
166,62
166,10
