26,982
27,62
28,62
29,62
30,62
31,62
32,62
33,62
34,62
35,62
36,62
37,69
38,70
39,46
41,116
42,24
43,47
44,46
45,47
46,46
47,47
48,46
49,47
50,47
51,46
52,47
53,46
54,47
55,46
56,47
57,46
58,47
59,46
61,3
62,36
63,46
64,47
66,114
67,26
68,50
69,62
70,50
71,47
72,48
73,62
74,62
75,62
76,62
77,48
78,47
79,46
80,47
81,46
82,47
83,46
84,47
85,46
87,110
88,30
89,47
90,46
91,47
92,46
93,47
94,47
95,46
96,50
97,62
98,62
99,62
100,62
101,62
102,55
103,46
104,47
105,47
106,115
108,35
109,36
110,46
111,47
112,46
113,47
114,46
115,47
116,47
117,46
120,33
121,42
122,46
123,47
124,46
125,47
126,47
127,46
128,47
129,46
130,46
131,47
133,113
134,27
135,46
136,47
137,47
138,46
139,47
140,46
141,47
142,46
143,47
144,47
145,46
146,47
147,46
148,46
149,47
150,46
151,47
152,46
153,47
154,116
156,34
157,36
158,47
159,46
160,47
161,46
162,47
163,46
164,47
165,49
166,94
167,93
168,94
169,63
170,46
171,47
172,46
173,47
174,115
175,5
176,19
177,47
178,47
179,46
180,47
181,46
182,47
183,46
184,47
185,46
186,47
187,54
188,60
189,47
190,46
191,47
192,46
193,47
194,46
195,47
196,116
197,20
198,4
199,46
200,47
201,46
202,47
203,47
204,46
205,47
206,46
207,47
208,46
209,47
210,46
211,47
212,47
212,14
